t_sec,force_x,force_y,force_z,torque_x,torque_y,torque_z,imputed,trial_id,smoothed_sigma_s
7.386,-23103.2029413295,-1.907685150324304e-83,1.2737570332069207e-132,-1.5162306284979053e+17,3.805621315828619e-15,-1.1123065279875864e-56,0,pressure_servo_20250708_145013.db3_export,0.05
7.436,9.792087149275448e-68,-8.549651687854659e-83,4.476367089329003e-93,4.992593713893237e+32,8.49148893665118e-16,-1.8338834322317408e-56,0,pressure_servo_20250708_145013.db3_export,0.05
7.486,8.03783460173372e-69,-1.409599259484323e-82,5.4533315031642366e-92,6.082224276775065e+33,6.970238576798638e-17,-1.1123065279875864e-56,0,pressure_servo_20250708_145013.db3_export,0.05
7.536,1.1475271693874375e-168,-8.549651687854659e-83,2.444013619466141e-91,2.7258638064567667e+34,1.0822496581137139e-101,-2.481891337240141e-57,0,pressure_servo_20250708_145013.db3_export,0.05
7.586,1.3979742810805609e-167,-1.907685150324304e-83,4.029497240294635e-91,4.4941896387368905e+34,4.850306464145339e-101,-2.0372604700202328e-58,0,pressure_servo_20250708_145013.db3_export,0.05
7.636,6.265286056132464e-167,-1.565923329392026e-84,2.444013619466141e-91,2.725863806456768e+34,7.99680343685075e-101,2.5064924323923464e-130,0,pressure_servo_20250708_145013.db3_export,0.05
7.686,1.0329710387766511e-166,3.3462346924710656e-125,5.4533315031642366e-92,6.082224276775073e+33,4.850306464145339e-101,3.053532892016872e-129,0,pressure_servo_20250708_145013.db3_export,0.05
7.736,6.265286056132464e-167,5.51700831423175e-125,4.476367089329003e-93,4.992593713893256e+32,1.0822496581137139e-101,1.3684984988069798e-128,0,pressure_servo_20250708_145013.db3_export,0.05
7.786,-8.477738908603294e-159,3.3462346924710656e-125,-2.5584447641311007e-172,-5.122003914458412e-113,8.883646169697915e-103,2.256272583904261e-128,0,pressure_servo_20250708_145013.db3_export,0.05
7.836,-7.594933839323148e-140,7.46645882825301e-126,1.175147431380292e-164,-6.770041923402816e-74,3.9198226505484e-141,1.3684984988069798e-128,0,pressure_servo_20250708_145013.db3_export,0.05
7.886,-9.25252356294967e-139,6.128842626425452e-127,1.4316226892905877e-163,-8.247599484556415e-73,2.377492618193644e-141,3.053532892016872e-129,0,pressure_servo_20250708_145013.db3_export,0.05
7.936,-4.146693372511694e-138,5.040446267251307e-145,6.416087754010264e-163,-3.6963176466462335e-72,5.304903086492576e-142,2.5064924323923464e-130,0,pressure_servo_20250708_145013.db3_export,0.05
7.986,-6.836741566331281e-138,4.1326569925486e-146,7.712329651459226e+20,-6.09419752728989e-72,4.354529625546595e-143,-3.369217711381237e-152,0,pressure_servo_20250708_145013.db3_export,0.05
8.036,-4.146693372511694e-138,-1.829511574874017e-84,9.395540940185636e+21,-3.6963176466462335e-72,6.777700856667575e-161,-1.5099786192686715e-151,0,pressure_servo_20250708_145013.db3_export,0.05
8.086,-9.25252356294967e-139,-2.228801371193982e-83,4.2107893141543785e+22,-8.247599484556415e-73,-7.190355897733208e-97,-2.489533867890669e-151,0,pressure_servo_20250708_145013.db3_export,0.05
8.136,-7.594933839323148e-140,-9.98879474523456e-83,6.942417908683129e+22,-6.770041923402816e-74,-8.759646729944342e-96,-1.5099786192686715e-151,0,pressure_servo_20250708_145013.db3_export,0.05
8.186,-6.4428576567229294e-80,-1.6468738365125887e-82,4.2107893141543785e+22,1.5968796490327166e-153,-3.9258013009614126e-95,-3.369217711381237e-152,0,pressure_servo_20250708_145013.db3_export,0.05
8.236,-7.849007449269923e-79,-9.98879474523456e-83,9.395540940185636e+21,4.889509062429109e-150,-6.472552109437316e-95,-2.7656223120234424e-153,0,pressure_servo_20250708_145013.db3_export,0.05
8.286,-3.5176810898395065e-78,-2.228801371193982e-83,7.712329651459226e+20,5.955483130469717e-149,-3.9258013009614126e-95,3.455610272646468e-212,0,pressure_servo_20250708_145013.db3_export,0.05
8.336,-5.7996756363580015e-78,-1.829511574874017e-84,4.459825170949456e-99,2.6690528572735203e-148,-8.759646729944342e-96,7.710508735461657e-213,0,pressure_servo_20250708_145013.db3_export,0.05
8.386,-3.5176810898395065e-78,7.880606438947511e-164,5.433179321088509e-98,4.4005239259310974e-148,-7.190355897733208e-97,6.289701161765846e-214,0,pressure_servo_20250708_145013.db3_export,0.05
8.436,-7.849007449269923e-79,4.7798294223504596e-164,2.434982038050916e-97,2.6690526798762152e-148,-7.988182666184346e-120,-1.992406600805021e-174,0,pressure_servo_20250708_145013.db3_export,0.05
8.486,-6.443206837664931e-80,1.0665241044912351e-164,4.0146066799072937e-97,5.955461519053758e-149,-1.7824044776006244e-120,-2.4272481381572905e-173,0,pressure_servo_20250708_145013.db3_export,0.05
8.536,-4.2538947171264944e-83,-1.0154070214393322e-136,6.95095153744266e-51,4.888540505962099e-150,-1.463086690910783e-121,-1.0878171451777946e-172,0,pressure_servo_20250708_145013.db3_export,0.05
