t_sec,angular_x,angular_y,angular_z,linear_x,linear_y,linear_z,imputed,trial_id,smoothed_sigma_s
8.036,1.1828409443235417,-1.128389191247332e+29,1.1996076124778152,1.5902343579686076e+28,-1.6283623127296794,-185508.2695676984,0,pressure_servo_20250708_145013.db3_export,0.05
8.086,1.184304955856605,-1.37465945076937e+30,1.1998808867503117,3.548292469680887e+27,-1.6284067215759328,-39.42954829591776,0,pressure_servo_20250708_145013.db3_export,0.05
8.136,1.1860585646906592,-6.160796235950014e+30,1.2001918236130222,2.9126158249968464e+26,-1.6284477442266423,-527.888859625694,0,pressure_servo_20250708_145013.db3_export,0.05
8.186,1.18811626860707,-1.0157436227192846e+31,1.2005505426357197,4387512768675843.0,-1.6284913368716492,-2674.46745979126,0,pressure_servo_20250708_145013.db3_export,0.05
8.236,1.1898596654699676,-6.160801885080721e+30,1.2008560368838914,1223850052258405.0,-1.6285294224364864,-5791.631241997007,0,pressure_servo_20250708_145013.db3_export,0.05
8.286,1.1912007282771369,-1.374688068463997e+30,1.201089488043185,469052262509617.0,-1.6285575685124922,-5791.631241997007,0,pressure_servo_20250708_145013.db3_export,0.05
8.336,1.1925383365004332,-1.1290089151242048e+29,1.2013164897344208,-2.872947205304233e+17,-1.6285813107636182,-2674.46745979126,0,pressure_servo_20250708_145013.db3_export,0.05
8.386,1.1939605214288551,-6.197238769639563e+25,1.2015502300580616,-3.7897019680424494e+18,-1.628600904535098,-527.939669764854,0,pressure_servo_20250708_145013.db3_export,0.05
8.436,1.1958853995789092,-1.7297352396928867e+32,1.2018614661526457,-6.478044227835912e+28,-1.628623609246053,-40.048542509378265,0,pressure_servo_20250708_145013.db3_export,0.05
8.486,1.19837003111248,-2.107248568131695e+33,1.202264725664122,-7.891873466355016e+29,-1.628654043233854,2.418067249849516e-09,0,pressure_servo_20250708_145013.db3_export,0.05
8.536,1.2013148097880235,-9.444032851392238e+33,1.2027403014621982,-3.536892305720676e+30,-1.6286883880325158,3.187841507335569e-08,0,pressure_servo_20250708_145013.db3_export,0.05
8.586,1.2046874434594712,-1.5570577842574632e+34,1.203286421510728,-5.832778742071206e+30,-1.628728802921908,-3.940545099566366e+16,0,pressure_servo_20250708_145013.db3_export,0.05
8.636,1.207777825087616,-9.444032850963704e+33,1.2037950305855003,-3.557161436801635e+30,-1.6287719107836292,-5.588675707647967e+17,0,pressure_servo_20250708_145013.db3_export,0.05
8.686,1.2099705556921507,-2.107248562482564e+33,1.2041586233806305,-9.020387393875338e+29,-1.6288044976926308,-3.111545961874807e+18,0,pressure_servo_20250708_145013.db3_export,0.05
8.736,1.2123063698323442,-1.7297349535159394e+32,1.2045446247403628,-3.4948940615343395e+29,-1.6288382101655223,1.393715209788136e+26,0,pressure_servo_20250708_145013.db3_export,0.05
8.786,1.2159125940642257,8.827708120118754e+30,1.2051457873093134,-3.353285500820034e+29,-1.628894158791662,1.6978384488612012e+27,0,pressure_servo_20250708_145013.db3_export,0.05
8.836,1.221117852406951,1.163712089803185e+32,1.2060228319100958,-1.7347038524993096e+29,-1.6289818762858876,7.608711166126923e+27,0,pressure_servo_20250708_145013.db3_export,0.05
8.886,1.226942434575079,5.895200332512491e+32,1.2070083408719186,-3.625076572772531e+28,-1.6290830982055828,1.2542195671617314e+28,0,pressure_servo_20250708_145013.db3_export,0.05
8.936,1.2316107232249385,1.276621493322462e+33,1.2077933895126594,-2.858331006507693e+27,-1.6291606494287385,7.601598711948032e+27,0,pressure_servo_20250708_145013.db3_export,0.05
8.986,1.2346967976160443,1.276621493322462e+33,1.2082909048393775,2.577753594024413e-15,-1.6291959790953696,1.6904097736180934e+27,0,pressure_servo_20250708_145013.db3_export,0.05
9.036,1.2378629211164065,1.1886036279012546e+35,1.2087770054231044,2.028910331972307e-15,-1.6292139746351668,1.374308104169256e+26,0,pressure_servo_20250708_145013.db3_export,0.05
9.086,1.2417757992562302,1.4409501988219106e+36,1.209381884370038,8.770580358265467e-16,-1.6292361607995642,2.067921525846572e+24,0,pressure_servo_20250708_145013.db3_export,0.05
9.136,1.245939688020929,6.457378045094348e+36,1.2100566227706224,1.3842924024761878e+17,-1.62926187693484,1.6344689422829544e+24,0,pressure_servo_20250708_145013.db3_export,0.05
9.186,1.2496545251311948,1.0646401981468915e+37,1.2107671728718232,1.824842613800629e+18,-1.6292968283084124,3.76826472778356e+23,0,pressure_servo_20250708_145013.db3_export,0.05
9.236,1.2525155899201357,6.457369217386229e+36,1.2114797375125637,9.244393692555514e+18,-1.6293359530560672,3.0931800499490566e+22,0,pressure_servo_20250708_145013.db3_export,0.05
9.286,1.2548741794782312,1.4408338276129302e+36,1.212107974360992,2.001898299097174e+19,-1.6292898514469918,9.52915332765458e+20,0,pressure_servo_20250708_145013.db3_export,0.05
9.336,1.2571494510769043,1.182708427568742e+35,1.2120200512483963,2.00189826456942e+19,-1.6284099728813213,1.256180061883803e+22,0,pressure_servo_20250708_145013.db3_export,0.05
9.386,1.2592324203689371,-5.253891149548188e-21,1.2091544206447082,9.244393279071748e+18,-1.62431787764651,6.3636299591569054e+22,0,pressure_servo_20250708_145013.db3_export,0.05
9.436,1.26032671708033,-3.997027680925914e-18,1.2028010231758646,1.8248425047894728e+18,-1.6161444370127915,1.3780611893044391e+23,0,pressure_servo_20250708_145013.db3_export,0.05
9.486,1.2585931163190778,-5.268553937342093e-17,1.1933020350513497,1.3842923049924307e+17,-1.6036942153124167,1.378061189304437e+23,0,pressure_servo_20250708_145013.db3_export,0.05
9.536,1.250822203292279,-2.6684142077349765e-16,1.1773673453546674,145692192264.26938,-1.5828042618387987,6.363629959156617e+22,0,pressure_servo_20250708_145013.db3_export,0.05
9.586,1.2341655801003688,-5.772908617101815e-16,1.1502609032030604,1774894243572.862,-1.5550379748658358,1.256180061882335e+22,0,pressure_servo_20250708_145013.db3_export,0.05
9.636,1.2049061208748528,-5.7491361888313975e-16,1.065078528735111,7954524128637.376,-1.517006975471279,9.5291533273367e+20,0,pressure_servo_20250708_145013.db3_export,0.05
