t_sec,data_0,data_1,data_2,imputed,trial_id,smoothed_sigma_s
10.186,452.5,372.4842820802568,488.12425664205415,1,pressure_servo_20250708_145013.db3_export,0.05
10.236,452.5864035866114,372.4102716272571,484.3879318584286,0,pressure_servo_20250708_145013.db3_export,0.05
10.286,452.7185641605135,372.25,483.6144855858773,1,pressure_servo_20250708_145013.db3_export,0.05
10.336,452.7308148817714,372.08972837274285,486.0892426000933,0,pressure_servo_20250708_145013.db3_export,0.05
10.386,452.4842820802568,372.0157179197432,490.8585387223109,1,pressure_servo_20250708_145013.db3_export,0.05
10.436,452.17834848344194,372.001354542498,495.1206879574676,0,pressure_servo_20250708_145013.db3_export,0.05
10.486,452.0314358394865,372.003492871054,496.5249695366492,1,pressure_servo_20250708_145013.db3_export,0.05
10.536,452.00221652408766,372.02018591884143,496.12602296532987,0,pressure_servo_20250708_145013.db3_export,0.05
10.586,452.00000000000006,372.0590484266096,495.4723874128768,1,pressure_servo_20250708_145013.db3_export,0.05
10.636,452.00000000000006,372.1113573915652,494.8908591325224,1,pressure_servo_20250708_145013.db3_export,0.05
10.686,452.00000000000006,372.1666666666666,494.33333333333326,1,pressure_servo_20250708_145013.db3_export,0.05
10.736,452.00000000000006,372.2222222222222,493.7777777777777,1,pressure_servo_20250708_145013.db3_export,0.05
10.786,452.00000000000006,372.2777777777777,493.2222222222222,1,pressure_servo_20250708_145013.db3_export,0.05
10.836,452.00000000000006,372.3333333333333,492.6666666666667,1,pressure_servo_20250708_145013.db3_export,0.05
10.886,452.00000000000006,372.3888888888889,492.1111111111111,1,pressure_servo_20250708_145013.db3_export,0.05
10.936,452.00000000000006,372.44444444444446,491.55555555555554,1,pressure_servo_20250708_145013.db3_export,0.05
10.986,452.00000000000006,372.5,491.0,1,pressure_servo_20250708_145013.db3_export,0.05
11.036,452.00000000000006,372.55555555555554,490.44444444444446,1,pressure_servo_20250708_145013.db3_export,0.05
11.086,452.00000000000006,372.61111111111103,489.88888888888886,1,pressure_servo_20250708_145013.db3_export,0.05
11.136,452.00000000000006,372.6666666666666,489.33333333333326,1,pressure_servo_20250708_145013.db3_export,0.05
11.186,452.00000000000006,372.7222222222222,488.7777777777777,1,pressure_servo_20250708_145013.db3_export,0.05
11.236,452.00000000000006,372.77777777777777,488.2222222222222,1,pressure_servo_20250708_145013.db3_export,0.05
11.286,452.00000000000006,372.8333333333333,487.6666666666666,1,pressure_servo_20250708_145013.db3_export,0.05
11.336,452.00000000000006,372.8888888888889,487.1111111111111,1,pressure_servo_20250708_145013.db3_export,0.05
11.386,452.00000000000006,372.94444444444446,486.5555555555555,1,pressure_servo_20250708_145013.db3_export,0.05
11.436,452.00000000000006,373.0,486.0,1,pressure_servo_20250708_145013.db3_export,0.05
11.486,452.00000000000006,373.05555555555554,485.4444444444444,1,pressure_servo_20250708_145013.db3_export,0.05
11.536,452.00000000000006,373.1111111111111,484.88888888888886,1,pressure_servo_20250708_145013.db3_export,0.05
11.586,452.00000000000006,373.1666666666667,484.33333333333326,1,pressure_servo_20250708_145013.db3_export,0.05
11.636,452.00000000000006,373.22222222222223,483.77777777777777,1,pressure_servo_20250708_145013.db3_export,0.05
11.686,452.00000000000006,373.27777777777777,483.22222222222223,1,pressure_servo_20250708_145013.db3_export,0.05
11.736,452.00000000000006,373.3333333333333,482.6666666666667,1,pressure_servo_20250708_145013.db3_export,0.05
11.786,452.00000000000006,373.3888888888888,482.1111111111111,1,pressure_servo_20250708_145013.db3_export,0.05
11.836,452.00000000000006,373.4444444444444,481.5555555555555,1,pressure_servo_20250708_145013.db3_export,0.05
11.886,452.00000000000006,373.5,481.0,1,pressure_servo_20250708_145013.db3_export,0.05
11.936,452.00000000000006,373.5555555555555,480.44444444444446,1,pressure_servo_20250708_145013.db3_export,0.05
11.986,452.00000000000006,373.6111111111111,479.88888888888886,1,pressure_servo_20250708_145013.db3_export,0.05
12.036,452.00000000000006,373.6666666666667,479.3333333333333,1,pressure_servo_20250708_145013.db3_export,0.05
12.086,452.00000000000006,373.7222222222222,478.7777777777777,1,pressure_servo_20250708_145013.db3_export,0.05
12.136,452.00000000000006,373.7777777777777,478.22222222222223,1,pressure_servo_20250708_145013.db3_export,0.05
12.186,452.00000000000006,373.8333333333333,477.6666666666666,1,pressure_servo_20250708_145013.db3_export,0.05
